,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
28,6,18709.0,0.25255224758137795,0.747447752418622,3012.0,11307.0,2677.0,1713.0,0.1914330663615561,0.8085669336384439,0.6374603174603175,0.5294427843206188,0.7653535731466139,0.7230136255493806,0.5784520837334358,0.8182405893961958,24537
29,7,18709.0,0.25255224758137795,0.747447752418622,3197.0,10912.0,3072.0,1528.0,0.21967963386727685,0.7803203661327232,0.6766137566137567,0.5099696921359068,0.7541290288096638,0.7284670613732399,0.581589958158996,0.8220771282069909,24537
30,8,18709.0,0.25255224758137795,0.747447752418622,3087.0,11162.0,2822.0,1638.0,0.2018020594965675,0.7981979405034325,0.6533333333333333,0.5224234218987984,0.7616120583676306,0.7257656369183829,0.5805905585856687,0.8204450589032969,24537
31,9,18709.0,0.25255224758137795,0.747447752418622,2900.0,11559.0,2425.0,1825.0,0.173412471395881,0.826587528604119,0.6137566137566137,0.5446009389671361,0.7728366027045807,0.7201720711803663,0.5771144278606964,0.8185679627813496,24537
32,2,18709.0,0.25255224758137795,0.747447752418622,3250.0,10704.0,3280.0,1475.0,0.23455377574370706,0.7654462242562929,0.6878306878306878,0.49770290964777947,0.7458442460847721,0.7266384560434904,0.5775211017325632,0.8184554986500067,24537
33,3,18709.0,0.25255224758137795,0.747447752418622,3238.0,10738.0,3246.0,1487.0,0.23212242562929064,0.7678775743707094,0.6852910052910053,0.49938309685379395,0.7470201507295954,0.7265842898308573,0.577750022303506,0.8176602057680433,24537
34,4,18709.0,0.25255224758137795,0.747447752418622,2724.0,11993.0,1991.0,2001.0,0.1423770022883295,0.8576229977116705,0.5765079365079365,0.5777306468716861,0.7866267571756909,0.7170654671098036,0.5771186440677966,0.820152070998753,24537
35,5,18709.0,0.25255224758137795,0.747447752418622,2973.0,11343.0,2641.0,1752.0,0.18885869565217395,0.811141304347826,0.6292063492063492,0.5295689348058426,0.765193222513229,0.7201738267770876,0.5751039752393848,0.8176864564793626,24537
36,6,18709.0,0.25255224758137795,0.747447752418622,2695.0,12085.0,1899.0,2030.0,0.13579805491990848,0.8642019450800915,0.5703703703703704,0.586634740966478,0.7899941204767759,0.717286157725231,0.5783882390814465,0.8206902067971862,19638
37,7,18709.0,0.25255224758137795,0.747447752418622,2960.0,11518.0,2466.0,1765.0,0.1763443935926774,0.8236556064073226,0.6264550264550265,0.5455215628455584,0.773852156716019,0.7250553164311746,0.5831937740124126,0.8225468411366581,19638
38,8,18709.0,0.25255224758137795,0.747447752418622,2774.0,11806.0,2178.0,1951.0,0.15574942791762014,0.8442505720823799,0.5870899470899471,0.5601777059773829,0.7793040782511091,0.7156702595861635,0.5733181771210086,0.8200250172532781,19638
39,9,18709.0,0.25255224758137795,0.747447752418622,2755.0,11945.0,2039.0,1970.0,0.14580949656750575,0.8541905034324943,0.5830687830687831,0.5746766791823112,0.7857181035865092,0.7186296432506387,0.5788423153692615,0.8212426749240251,19638
40,2,18709.0,0.25255224758137795,0.747447752418622,3219.0,10813.0,3171.0,1506.0,0.22675915331807783,0.7732408466819222,0.6812698412698412,0.503755868544601,0.7500133625527821,0.7272553439758818,0.5792172739541159,0.8181445461479786,19638
41,3,18709.0,0.25255224758137795,0.747447752418622,3052.0,11137.0,2847.0,1673.0,0.20358981693363842,0.7964101830663616,0.6459259259259259,0.5173758264112561,0.7584050456999305,0.7211680544961437,0.5745481927710843,0.8186389887762886,19638
42,4,18709.0,0.25255224758137795,0.747447752418622,3084.0,11059.0,2925.0,1641.0,0.20916762013729973,0.7908323798627003,0.6526984126984127,0.5132301547678483,0.7559463359880272,0.7217653962805565,0.5746226942425937,0.8186490683229813,19638
43,5,18709.0,0.25255224758137795,0.747447752418622,2611.0,12287.0,1697.0,2114.0,0.12135297482837526,0.8786470251716247,0.5525925925925926,0.6060817084493965,0.7963012453899193,0.7156198088821086,0.5781025130078601,0.8233265076943568,19638
44,6,18709.0,0.25255224758137795,0.747447752418622,2829.0,11795.0,2189.0,1896.0,0.15653604118993136,0.8434639588100686,0.5987301587301588,0.563770426464727,0.7816558875407558,0.7210970587701138,0.5807246228061173,0.8224356180305837,19638
45,7,18709.0,0.25255224758137795,0.747447752418622,2876.0,11691.0,2293.0,1849.0,0.16397311212814647,0.8360268878718535,0.6086772486772487,0.5563938866318436,0.7786092255064407,0.7223520682745511,0.5813624418839701,0.8231964270579831,63628
46,8,18709.0,0.25255224758137795,0.747447752418622,2936.0,11501.0,2483.0,1789.0,0.1775600686498856,0.8224399313501144,0.6213756613756614,0.5417973795903304,0.7716606980597573,0.7219077963628879,0.5788643533123029,0.821398574939765,63628
47,9,18709.0,0.25255224758137795,0.747447752418622,2878.0,11735.0,2249.0,1847.0,0.1608266590389016,0.8391733409610984,0.6091005291005291,0.5613419153501072,0.7810679352183442,0.7241369350308138,0.5842468534307755,0.8213711210393133,63628
48,2,18709.0,0.25255224758137795,0.747447752418622,3248.0,10699.0,3285.0,1477.0,0.2349113272311213,0.7650886727688787,0.6874074074074074,0.4971682228685137,0.7454700946068737,0.726248040088143,0.5770119026470066,0.8185469410240578,63628
49,3,18709.0,0.25255224758137795,0.747447752418622,3068.0,11082.0,2902.0,1657.0,0.20752288329519453,0.7924771167048055,0.6493121693121693,0.5139028475711893,0.7563204874659255,0.7208946430084874,0.5737260402057036,0.8183085733657816,63628
50,4,18709.0,0.25255224758137795,0.747447752418622,2720.0,12017.0,1967.0,2005.0,0.14066075514874143,0.8593392448512586,0.5756613756613757,0.5803285683806273,0.7876957613982575,0.7175003102563171,0.577985550361241,0.8204405639703123,63628
51,5,18709.0,0.25255224758137795,0.747447752418622,3150.0,11010.0,2974.0,1575.0,0.21267162471395884,0.7873283752860412,0.6666666666666666,0.5143696930111038,0.7568549895772089,0.726997520976354,0.5806986819061665,0.8190692764519996,63628
52,6,18709.0,0.25255224758137795,0.747447752418622,2959.0,11390.0,2594.0,1766.0,0.18549771167048057,0.8145022883295194,0.6262433862433863,0.532865117954259,0.766957079480464,0.7203728372864528,0.5757929558279821,0.8201596836293633,63628
53,7,18709.0,0.25255224758137795,0.747447752418622,2869.0,11708.0,2276.0,1856.0,0.16275743707093826,0.8372425629290617,0.6071957671957672,0.5576287657920311,0.7791437276177241,0.7222191650624145,0.5813576494427559,0.820846167350744,63628
54,8,18709.0,0.25255224758137795,0.747447752418622,2849.0,11709.0,2275.0,1876.0,0.1626859267734554,0.8373140732265446,0.6029629629629629,0.5560109289617486,0.7781281736062857,0.7201385180947537,0.5785358919687278,0.820464279660504,97129
55,9,18709.0,0.25255224758137795,0.747447752418622,2848.0,11661.0,2323.0,1877.0,0.16611842105263153,0.8338815789473685,0.6027513227513227,0.5507638754592922,0.7755091132609974,0.7183164508493456,0.5755860953920775,0.8207102599493904,97129
56,2,18709.0,0.25255224758137795,0.747447752418622,3241.0,10722.0,3262.0,1484.0,0.23326659038901598,0.766733409610984,0.6859259259259259,0.4983853606027987,0.7463252979849271,0.726329667768455,0.5773067331670824,0.8181611940479216,97129
57,3,18709.0,0.25255224758137795,0.747447752418622,3025.0,11213.0,2771.0,1700.0,0.19815503432494275,0.8018449656750573,0.6402116402116402,0.521911663216011,0.7610241060452189,0.7210283029433487,0.5750403953996769,0.8172978944946908,97129
58,4,18709.0,0.25255224758137795,0.747447752418622,3371.0,10412.0,3572.0,1354.0,0.2554347826086957,0.7445652173913043,0.7134391534391534,0.4855249891977531,0.736704259981827,0.7290021854152289,0.5778196777511142,0.8185489085031419,97129
59,5,18709.0,0.25255224758137795,0.747447752418622,3126.0,11019.0,2965.0,1599.0,0.21202803203661325,0.7879719679633868,0.6615873015873016,0.5132162206534231,0.7560532364102838,0.7247796347753441,0.5780325443786982,0.818713979998305,97129
60,6,18709.0,0.25255224758137795,0.747447752418622,2937.0,11462.0,2522.0,1788.0,0.18034897025171626,0.8196510297482837,0.6215873015873016,0.5380106246565305,0.7696295900368807,0.7206191656677927,0.5767871170463472,0.8216169197147458,97129
61,7,18709.0,0.25255224758137795,0.747447752418622,2760.0,11925.0,2059.0,1965.0,0.14723970251716245,0.8527602974828375,0.5841269841269842,0.5727329321435982,0.7849163504195842,0.7184436408049109,0.57837384744342,0.820910019614253,97129
62,8,18709.0,0.25255224758137795,0.747447752418622,3195.0,10839.0,3145.0,1530.0,0.22489988558352403,0.775100114416476,0.6761904761904762,0.5039432176656151,0.7501202629750388,0.7256452953034761,0.5774966109353818,0.819304617219377,97129
63,9,18709.0,0.25255224758137795,0.747447752418622,3210.0,10789.0,3195.0,1515.0,0.2284754004576659,0.7715245995423341,0.6793650793650794,0.5011709601873536,0.748249505585547,0.7254448394537067,0.5768194070080863,0.8203420840749216,45356
64,2,18709.0,0.25255224758137795,0.747447752418622,3207.0,10810.0,3174.0,1518.0,0.22697368421052633,0.7730263157894737,0.6787301587301587,0.5025858015984955,0.7492116093858571,0.7258782372598163,0.5775256618044301,0.8178901511023936,45356
65,3,18709.0,0.25255224758137795,0.747447752418622,3023.0,11167.0,2817.0,1702.0,0.20144450800915337,0.7985554919908466,0.6397883597883598,0.5176369863013699,0.7584584959110588,0.7191719258896032,0.5722669190724089,0.8170689858704733,45356
66,4,18709.0,0.25255224758137795,0.747447752418622,2993.0,11314.0,2670.0,1732.0,0.19093249427917625,0.8090675057208238,0.6334391534391535,0.5285184531167226,0.764712170613074,0.7212533295799886,0.5762418174817097,0.8185432784860702,45356
67,5,18709.0,0.25255224758137795,0.747447752418622,2644.0,12185.0,1799.0,2081.0,0.12864702517162474,0.8713529748283753,0.5595767195767196,0.5950934053567409,0.7926131808220642,0.7154648472025474,0.5767888307155323,0.8213239015412929,45356
68,6,18709.0,0.25255224758137795,0.747447752418622,3429.0,10220.0,3764.0,1296.0,0.26916475972540044,0.7308352402745996,0.7257142857142858,0.4767134714305575,0.7295419316906302,0.7282747629944426,0.5754321194831348,0.8179587707190682,45356
69,7,18709.0,0.25255224758137795,0.747447752418622,2841.0,11783.0,2201.0,1884.0,0.15739416475972545,0.8426058352402745,0.6012698412698413,0.5634668782229274,0.7816558875407558,0.7219378382550579,0.5817548889116413,0.8218095510515419,45356
70,8,18709.0,0.25255224758137795,0.747447752418622,3115.0,11047.0,2937.0,1610.0,0.21002574370709381,0.7899742562929062,0.6592592592592592,0.5147058823529411,0.7569618899994655,0.7246167577760827,0.578082954440011,0.8205581738161829,45356
71,9,18709.0,0.25255224758137795,0.747447752418622,2849.0,11765.0,2219.0,1876.0,0.15868135011441653,0.8413186498855835,0.6029629629629629,0.5621546961325967,0.7811213854294724,0.7221408064242731,0.581844174410293,0.8226112533749834,45356
72,2,18709.0,0.25255224758137795,0.747447752418622,3201.0,10823.0,3161.0,1524.0,0.22604405034324948,0.7739559496567505,0.6774603174603174,0.5031436655139893,0.7495857608637554,0.725708133558534,0.5774330296743934,0.817908372985604,71730
73,3,18709.0,0.25255224758137795,0.747447752418622,3402.0,10215.0,3769.0,1323.0,0.26952231121281467,0.7304776887871853,0.72,0.4744108213638265,0.7278315249345235,0.7252388443935927,0.5719569603227976,0.8176547952005617,71730
74,4,18709.0,0.25255224758137795,0.747447752418622,3055.0,11117.0,2867.0,1670.0,0.20502002288329524,0.7949799771167048,0.6465608465608466,0.5158730158730159,0.7574963921107488,0.7207704118387757,0.5738705738705738,0.8183912982940442,71730
75,5,18709.0,0.25255224758137795,0.747447752418622,2708.0,12011.0,1973.0,2017.0,0.14108981693363842,0.8589101830663616,0.5731216931216931,0.5785088656270028,0.7867336575979476,0.7160159380940274,0.5758026791409738,0.8190241455086993,71730
76,6,18709.0,0.25255224758137795,0.747447752418622,3135.0,11061.0,2923.0,1590.0,0.2090245995423341,0.7909754004576659,0.6634920634920635,0.5174975239352921,0.7587791971778288,0.7272337319748647,0.5814708337197441,0.8226614694949935,71730
77,7,18709.0,0.25255224758137795,0.747447752418622,2755.0,11978.0,2006.0,1970.0,0.14344965675057209,0.8565503432494279,0.5830687830687831,0.5786599453896241,0.7874819605537442,0.7198095631591055,0.5808559983133039,0.8234141361858753,71730
78,8,18709.0,0.25255224758137795,0.747447752418622,3129.0,10969.0,3015.0,1596.0,0.21560354691075512,0.7843964530892449,0.6622222222222223,0.50927734375,0.7535410764872521,0.7233093376557336,0.575765939828871,0.8180785145230225,71730
79,9,18709.0,0.25255224758137795,0.747447752418622,2832.0,11777.0,2207.0,1893.0,0.15782322654462244,0.8421767734553776,0.5993650793650793,0.5620162730700535,0.7808541343738308,0.7207709264102284,0.5800901269971324,0.8210817351349388,71730
